issueType,family,tag,productId,productName,description,recommendedAction
AXIS_OVERLAP,PRODUCT_FAMILY,PLATE_LOADED_MACHINE,343;973;1862;2068;2134,Jaula Smith Machine | Smith Machine ZR Series | Multifuncional Smith ZR Series,"The 5 Smith-machine golden-set products carry naming that suggests 3 different families (RACK_CAGE via ""Jaula"", CABLE_MACHINE via ""Multifuncional""/pulley category, PLATE_LOADED_MACHINE via generic ""Smith Machine""), but all 5 share the same trusted category ""Máquinas con Carga de Discos"".","Resolve Smith-machine products to PLATE_LOADED_MACHINE deterministically regardless of ""Jaula""/""Multifuncional"" wording; treat rack/cage or pulley wording as a secondary structural note only."
TAG_OVERLAP,PRODUCT_FAMILY,FLOORING,154;872;966;153;2132;1711,Colchoneta Pu Negro | Colchoneta Oxford | Mat de Yoga TPE | Balón Pilates 65cm,"Generic impact/landing mats (""colchoneta"") and yoga/pilates equipment both fall under a colloquial ""mat/ball"" naming pattern, risking FLOORING vs YOGA_PILATES confusion.","Deterministic rule: classify as YOGA_PILATES only when name/category explicitly says ""yoga"" or ""pilates""; all other mats default to FLOORING (implemented in this review)."
TAG_TOO_BROAD,PRODUCT_FAMILY,MACHINE_ATTACHMENT,80,Magnesio 56gr (Unidad) | Araknido,"Category ""Accesorios de Weightlifting"" is a broad lifting-accessories bucket (includes chalk) that incorrectly voted MACHINE_ATTACHMENT in an initial rule draft.","Exclude ""Accesorios de Weightlifting"" from the PRODUCT_FAMILY category map; leave unmatched lifting accessories as OTHER pending a possible future ACCESSORY_MISC tag."
MISSING_TAG,PRODUCT_FAMILY,,82;85,Cajón Pliométrico de Madera / Acolchado 3 en 1,"Plyometric boxes have real structured evidence (category ""Cajones de Salto"", features, description) but fit no PRODUCT_FAMILY candidate in the v1 list.",DEFER: keep as OTHER for v1; revisit only if plyo boxes/agility tools become commercially significant enough to justify a new functional-conditioning-tool family.
MISSING_TAG,PRODUCT_FAMILY,,151,AbMat 1.0 | HWM®,Ab-training mat accessory fits no PRODUCT_FAMILY candidate.,"DEFER: single low-volume SKU; keep as OTHER, no ontology action needed at current scale."
HISTORICAL_DATA_GAP,PRODUCT_FAMILY,,2084;2077;1717;1714;711;370;1572;1949;1628,(9 historical-only products),"9 of 50 historical-only golden-set rows (18%) have no current-catalog row at all (blank categories/features/description) and their bare order-line names are not self-explanatory enough for confident family classification (e.g. ""Pack Grip 105kg"", ""Máquina Home Gym ULTRA FZ410"").","Leave as OTHER/INSUFFICIENT_EVIDENCE; do not guess family from an ambiguous historical name. Revisit only via a curated historical-to-current successor mapping, per the A00.1 historical-only policy."
INSUFFICIENT_EVIDENCE,DISCIPLINE,FUNCTIONAL_TRAINING,,,"Zero golden-set products qualify for FUNCTIONAL_TRAINING under an EXPLICIT-name or SEMANTIC_STRONG-category evidence rule, despite the golden set being stratified to include functional/conditioning theme coverage.","DROP for v1. The underlying category evidence (""Funcional"", ""Gimnasia & Funcional"") is SEMANTIC_WEAK/CAMPAIGN-trust and too broad to support a reliable rule."
INSUFFICIENT_EVIDENCE,DISCIPLINE,BODYBUILDING,,,Zero golden-set products qualify for BODYBUILDING; no category or structured feature in the trust maps maps to this concept.,DROP for v1.
INSUFFICIENT_EVIDENCE,USE_CONTEXT,CROSSFIT_BOX,,,Zero golden-set products qualify for CROSSFIT_BOX as a distinct facility use-context beyond COMMERCIAL_GYM/CROSSFIT discipline.,DROP for v1; a CrossFit box is adequately represented by DISCIPLINE:CROSSFIT + USE_CONTEXT:COMMERCIAL_GYM without a dedicated facility tag.
TAG_OVERLAP,PRODUCT_FAMILY,PACK_SET,,,"PACK_SET was a candidate PRODUCT_FAMILY, but every pack/set golden-set product is more usefully described by its underlying family (e.g. a pack of resistance bands is BAND_SUSPENSION); a separate PACK_SET family would duplicate the family axis for every bundled SKU.","DROP as a PRODUCT_FAMILY. Keep MULTI_COMPONENT_PRODUCT as an ontologyProblem flag for genuine cross-family bundles only (e.g. dumbbells + storage rack); same-family packs get a review note, not a tag."
TAG_OVERLAP,PRODUCT_FAMILY,BOXING_MMA,1834;1835;1836;1322,"Par Guantes de Boxeo / MMA, Par Vendas de Boxeo, Tatami Eva Mat","BOXING_MMA was a candidate for both PRODUCT_FAMILY and DISCIPLINE. Every boxing/MMA golden-set product is a physical object already covered by another family (gloves/wraps = PROTECTIVE_GEAR, tatami = FLOORING).",DROP BOXING_MMA as a PRODUCT_FAMILY; keep it only as a DISCIPLINE tag layered on top of the physical family.
