productId,productName,previousFamily,reviewDecision,finalFamily,previousDisciplines,finalDisciplines,previousUseContexts,finalUseContexts,notes
31,Barra Olímpica 20kg Classic Serie | PROmachine,BARBELL,CORRECT,BARBELL,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
1273,Prensa Inclinada 45° Lineal MO 2.0 | Obelix®,PLATE_LOADED_MACHINE,ACCEPT,PLATE_LOADED_MACHINE,,,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Deep-audited: full name/category/feature/description evidence read directly.
1505,Dual Abductor / Aductor MO 2.0 | Obelix®,SELECTORIZED_MACHINE,ACCEPT,SELECTORIZED_MACHINE,,,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1238,Trotadora Comercial S1 Series TFT Touch | Obelix®,CARDIO_MACHINE,ACCEPT,CARDIO_MACHINE,CARDIO_ENDURANCE:STRONGLY_INFERRED,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1338,Banco Regulable Negro | KONG,BENCH,ACCEPT,BENCH,,,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1581,Cinturón de Levantamiento Iconlift™ 1.0 Negro | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Deep-audited: full name/category/feature/description evidence read directly.
1125,Cajón Hip Thrust Acolchado | FullFit,BENCH,ACCEPT,BENCH,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
824,Par Bumper Plates Eco 10kg | HWM®,WEIGHT_PLATE,CORRECT,WEIGHT_PLATE,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Deep-audited: full name/category/feature/description evidence read directly."
1586,Cinturón de Levantamiento Iconlift™ 1.0 Magenta | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1585,Cinturón de Levantamiento Iconlift™ 1.0 Coral | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1584,Cinturón de Levantamiento Iconlift™ 1.0 Turquesa | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1595,Par Muñequeras Elásticas Fight 2.0 Magenta | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1609,Par Calleras Black Widow Sin Orificios | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1577,2da Selección - Palmeta De Caucho 100x100cm 15mm (Unidad),FLOORING,ACCEPT,FLOORING,,,,,Deep-audited: full name/category/feature/description evidence read directly.
1601,Par Calleras Essentials Sin Orificios Negro/Rojo | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
7,Pack 4 Bandas de Resistencia | HWM®,BAND_SUSPENSION,ACCEPT,BAND_SUSPENSION,,,,,Deep-audited: full name/category/feature/description evidence read directly.
1605,Par Calleras Essentials Sin Orificios Blanco/Negro | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1613,Par Calleras Stone 2.0 Sin Orificios Negro | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
366,Set 20kg Maletín Cast Iron,DUMBBELL,ACCEPT,DUMBBELL,,,,,Deep-audited: full name/category/feature/description evidence read directly.
1583,Cinturón de Levantamiento Iconlift™ 1.0 Blanco | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1538,Power Rack Delta | HWM®,RACK_CAGE,ACCEPT,RACK_CAGE,,,HOME_GYM:EXPLICIT,HOME_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1198,Piso de Caucho Interlock 100x100cm x 15mm (Unidad) Sin Bordes,FLOORING,ACCEPT,FLOORING,,,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
816,Cinturón de Levantamiento Heavy Duty | HWM,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1612,Par Calleras Stone 2.0 Sin Orificios Turquesa | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
779,Airbike Hurricane 3.0 | HWM®,CARDIO_MACHINE,ACCEPT,CARDIO_MACHINE,CARDIO_ENDURANCE:STRONGLY_INFERRED,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1582,Cinturón de Levantamiento Iconlift™ 1.0 Gris | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
230,Par Mancuernas Hexagonales 15kg | HWM®,DUMBBELL,ACCEPT,DUMBBELL,,,,,Deep-audited: full name/category/feature/description evidence read directly.
2084,Máquina Home Gym ULTRA FZ410 68kg - 2da Selección | Forza,OTHER,ACCEPT,OTHER,,,HOME_GYM:STRONGLY_INFERRED,HOME_GYM:STRONGLY_INFERRED,Deep-audited: full name/category/feature/description evidence read directly.
1594,Par Muñequeras Elásticas Fight 2.0 Negro | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1517,Polea Cruzada Corta MO 2.0 | Obelix®,CABLE_MACHINE,ACCEPT,CABLE_MACHINE,,,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
901,Trineo Multifuncional 3.0 Power Sled | HWM®,ROPE_SLED,ACCEPT,ROPE_SLED,HYROX:EXPLICIT,HYROX:EXPLICIT,,,Deep-audited: full name/category/feature/description evidence read directly.
232,Par Mancuernas Hexagonales 20kg | HWM®,DUMBBELL,ACCEPT,DUMBBELL,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
228,Par Mancuernas Hexagonales 10kg | HWM®,DUMBBELL,ACCEPT,DUMBBELL,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1862,Jaula Smith Machine ZR Series | PROmachine,PLATE_LOADED_MACHINE,ACCEPT,PLATE_LOADED_MACHINE,,,HOME_GYM:EXPLICIT,HOME_GYM:EXPLICIT,Deep-audited: full name/category/feature/description evidence read directly.
1602,Par Calleras Essentials Sin Orificios Rosado/Negro | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1596,Par Muñequeras Elásticas Fight 2.0 Turquesa | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
818,Cinturón de Levantamiento Straight Black | HWM,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
35,Barra Olímpica Z 6.5kg | PROmachine,BARBELL,CORRECT,BARBELL,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
823,Par Bumper Plates Eco 5kg | HWM®,WEIGHT_PLATE,CORRECT,WEIGHT_PLATE,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
57,Balón Medicinal 5kg Color Series | HWM®,BALL_BAG,ACCEPT,BALL_BAG,HYROX:EXPLICIT,HYROX:EXPLICIT,,,Deep-audited: full name/category/feature/description evidence read directly.
1971,Palmeta de Caucho 100x100cm 15mm (Unidad) - 2da Selección,FLOORING,ACCEPT,FLOORING,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
229,Par Mancuernas Hexagonales 12.5kg | HWM®,DUMBBELL,ACCEPT,DUMBBELL,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1607,Par Calleras Essentials 3 Orificios Rosado/Negro | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
227,Par Mancuernas Hexagonales 7.5kg | HWM®,DUMBBELL,ACCEPT,DUMBBELL,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
58,Balón Medicinal 7kg Color Series | HWM®,BALL_BAG,ACCEPT,BALL_BAG,HYROX:EXPLICIT,HYROX:EXPLICIT,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1670,Par Guantes Grab Shiny Morado | FullFit,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
2077,Máquina Home Gym PRO FZ402B 68kg - 2da Selección | Forza,OTHER,ACCEPT,OTHER,,,HOME_GYM:STRONGLY_INFERRED,HOME_GYM:STRONGLY_INFERRED,Deep-audited: full name/category/feature/description evidence read directly.
611,Barra Olímpica Cerakote Rojo 20kg | KONG,BARBELL,CORRECT,BARBELL,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
1967,Balón Medicinal 9kg Color Series - 2da Selección | HWM®,BALL_BAG,ACCEPT,BALL_BAG,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1055,Piso De Caucho 1x1mt 15mm (Unidad) | 2° Selección,FLOORING,ACCEPT,FLOORING,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
111,Par Crumb Bumper Plates 25Lbs | HWM®,WEIGHT_PLATE,CORRECT,WEIGHT_PLATE,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
1646,Rodilleras de Neopreno XBarbell 5mm FullColor | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
109,Par Crumb Bumper Plates 10Lbs | HWM®,WEIGHT_PLATE,CORRECT,WEIGHT_PLATE,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
775,Bosu Ball 1.0 | Mindfullness,BALL_BAG,ACCEPT,BALL_BAG,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1611,Par Calleras Stone 2.0 Sin Orificios Magenta | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
110,Par Crumb Bumper Plates 15Lbs | HWM®,WEIGHT_PLATE,CORRECT,WEIGHT_PLATE,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
1555,2da Selección - Barra Olímpica 20kg Cerakote Rojo | KONG,BARBELL,ACCEPT,BARBELL,,,,,Deep-audited: full name/category/feature/description evidence read directly.
112,Par Crumb Bumper Plates 35Lbs | HWM®,WEIGHT_PLATE,CORRECT,WEIGHT_PLATE,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
1499,Par Discos Olímpicos Grip Rubber 20kg | PROmachine,WEIGHT_PLATE,CORRECT,WEIGHT_PLATE,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
1093,Airbike Hurricane 2.0 | 2° Selección | HWM,CARDIO_MACHINE,ACCEPT,CARDIO_MACHINE,CARDIO_ENDURANCE:STRONGLY_INFERRED,CARDIO_ENDURANCE:STRONGLY_INFERRED,,,Deep-audited: full name/category/feature/description evidence read directly.
389,Rack de Almacenamiento Mancuernas 3 Niveles | HWM®,STORAGE,ACCEPT,STORAGE,,,,,Deep-audited: full name/category/feature/description evidence read directly.
2061,Banco Regulable Delta | HWM®,BENCH,ACCEPT,BENCH,,,HOME_GYM:EXPLICIT,HOME_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1486,Bicicleta de Spinning 850S | VORTEC,CARDIO_MACHINE,ACCEPT,CARDIO_MACHINE,CARDIO_ENDURANCE:STRONGLY_INFERRED,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1610,Par Calleras Phanter Sin Orificios | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
2152,Balón Medicinal 9kg Color Series - 2da Selección Wodstock | HWM®,BALL_BAG,ACCEPT,BALL_BAG,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
666,Barra Olímpica Cerakote Amarillo 15kg | KONG,BARBELL,CORRECT,BARBELL,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
1551,Banco Multifunción Leg/Curl Extension ZR Series | PROmachine,BENCH,ACCEPT,BENCH,,,HOME_GYM:EXPLICIT,HOME_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1614,Par Calleras Stone 2.0 Sin Orificios Blanco | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1455,Wall Crossover Black ZR Series | PROmachine,CABLE_MACHINE,ACCEPT,CABLE_MACHINE,,,HOME_GYM:EXPLICIT,HOME_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1497,Par Discos Olímpicos Grip Rubber 10kg | PROmachine,WEIGHT_PLATE,CORRECT,WEIGHT_PLATE,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
1549,Banco Plano Alpha | HWM®,BENCH,ACCEPT,BENCH,,,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
85,Cajón Pliométrico Acolchado 3 en 1 (75x50x60cm) | HWM®,OTHER,ACCEPT,OTHER,,,,,Deep-audited: full name/category/feature/description evidence read directly.
1671,Par Guantes Grab Shiny Cian | FullFit,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1553,2da Selección - Airbike Hurricane 3.0 | HWM®,CARDIO_MACHINE,ACCEPT,CARDIO_MACHINE,CARDIO_ENDURANCE:STRONGLY_INFERRED,CARDIO_ENDURANCE:STRONGLY_INFERRED,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1506,Dual Polea Alta / Remo Bajo MO 2.0 | Obelix®,CABLE_MACHINE,ACCEPT,CABLE_MACHINE,,,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
151,AbMat 1.0 | HWM®,OTHER,ACCEPT,OTHER,,,,,Deep-audited: full name/category/feature/description evidence read directly.
1608,Par Calleras Essentials 3 Orificios Blanco/Negro | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
2073,Trotadora Comercial S1 Series TFT Touch - 2da Selección | Obelix®,CARDIO_MACHINE,ACCEPT,CARDIO_MACHINE,CARDIO_ENDURANCE:STRONGLY_INFERRED,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
226,Par Mancuernas Hexagonales 5kg | HWM®,DUMBBELL,ACCEPT,DUMBBELL,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
2066,Trotadora Comercial S1 Series LED - 2da Selección | Obelix®,CARDIO_MACHINE,ACCEPT,CARDIO_MACHINE,CARDIO_ENDURANCE:STRONGLY_INFERRED,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1606,Par Calleras Essentials 3 Orificios Negro/Rojo | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1133,Par Rodilleras de Neopreno Camo 5mm | HWM®,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
113,Par Crumb Bumper Plates 45Lbs | HWM®,WEIGHT_PLATE,CORRECT,WEIGHT_PLATE,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
1668,Par Guantes Grab Training 2.0 Pink | FullFit,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,,,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1836,Par Guantes de Boxeo | Rising,PROTECTIVE_GEAR,ACCEPT,PROTECTIVE_GEAR,BOXING_MMA:EXPLICIT,BOXING_MMA:EXPLICIT,,,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1547,Power Rack Magnum | HWM®,RACK_CAGE,ACCEPT,RACK_CAGE,,,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
